id,name,party,partyLabel,votes,election,electionLabel,ranking
Q748955,Ian Liddell-Grainger,Q9626,Conservative Party (UK),35827,Q30173038,General election 2019,1
,Oliver Thornton,Q9630,Labour Party (UK),11388,Q30173038,General election 2019,2
,Bill Revans,Q9624,Liberal Democrats (UK),7805,Q30173038,General election 2019,3
,Mickie Ritchie,Q9669,Green Party of England and Wales,1877,Q30173038,General election 2019,4
,Fares Moussa,Q3360801,"Liberal Party (UK, 1989)",755,Q30173038,General election 2019,5
Q748955,Ian Liddell-Grainger,Q9626,Conservative Party (UK),32111,Q25052149,General election 2017,1
,Wes Hinckes,Q9630,Labour Party (UK),16663,Q25052149,General election 2017,2
,Marcus Kravis,Q9624,Liberal Democrats (UK),6332,Q25052149,General election 2017,3
,Simon Smedley,Q10647,UK Independence Party,2102,Q25052149,General election 2017,4
,Kay Powell,Q9669,Green Party of England and Wales,1059,Q25052149,General election 2017,5
Q748955,Ian Liddell-Grainger,Q9626,Conservative Party (UK),25020,Q3586935,General election 2015,1
,Stephen Fitzgerald,Q10647,United Kingdom Independence Party,10437,Q3586935,General election 2015,2
,Michael Lerry,Q9630,Labour Party (UK),9589,Q3586935,General election 2015,3
,Theo Butt Philip,Q9624,Liberal Democrats (UK),6765,Q3586935,General election 2015,4
,Julie Harvey-Smith,Q9669,Green Party of England and Wales,2636,Q3586935,General election 2015,5
Q748955,Ian Liddell-Grainger,Q9626,Conservative Party (UK),24675,Q215622,General election 2010,1
,Theo Butt Philip,Q9624,Liberal Democrats (UK),15426,Q215622,General election 2010,2
,Kathy Pearce,Q9630,Labour Party (UK),9332,Q215622,General election 2010,3
,Peter Hollings,Q10647,United Kingdom Independence Party,2604,Q215622,General election 2010,4
,Donna Treanor,Q161269,British National Party,1282,Q215622,General election 2010,5
,Charles Graham,Q9669,Green Party of England and Wales,859,Q215622,General election 2010,6
,Bob Cudlipp,Q327591,Independent (politician),315,Q215622,General election 2010,7
